description,status
"ATF : Test1",New
"ATF:TEST2",New
"Assessment :  ATF Assessor",New
"CPU load high for over 10 minutes",Closed
"Can't access Exchange server - is it down?","In Progress"
"Can't access SFA software",New
"Can't launch 64-bit Windows 7 virtual machine","In Progress"
"Can't log into SAP from my laptop today","In Progress"
"Can't read email",Closed
"Cannot sign into the company portal app",Closed
"Customer didn't receive eFax",Closed
"Defect tracking tool is down.",Closed
"Does not look like a backup occurred last night",Closed
"EMAIL Server Down Again",Closed
"EMAIL is slow when an attachment is involved",Closed
"Email server is down.",New
"Employee payroll application server is down.",New
"File Server is 80% full - Needs upgrade",Closed
"Forgot email password",Closed
"Hangs when trying to print VISIO document",Closed
"Having problems with Sales Tools performance","On Hold"
"How do I create a sub-folder","On Hold"
"I can't get my weather report","In Progress"
"I can't launch my VPN client since the last software update","In Progress"
"I need a replacement iPhone, please","In Progress"
"Issue with a web page on wiki",Closed
"Issue with email","In Progress"
"Issue with networking",Closed
"JavaScript error on hiring page of corporate website","On Hold"
"Lost connection to the wireless network",Closed
"Manager can't access SAP Controlling application","In Progress"
"Missing my home directory",Closed
"Multiple failed login attempts detected from Administrator Account to mercury.frothly.local destination",New
"Multiple failed login attempts detected from Guest Account to venus.frothly.local destination",New
"Multiple failed login attempts detected from MERCURY$ Account to mercury.frothly.local destination","In Progress"
"Multiple failed login attempts detected from administrator Account to venus.frothly.local destination",New
"My computer is not detecting the headphone device",Closed
"My desk phone does not work","In Progress"
"My disk is still having issues. Can't delete a file",Closed
"Need Oracle 10GR2 installed",Closed
"Need access to sales DB for the West","On Hold"
"Need access to the common drive.",New
"Need help with Remedy. Can we configure UI?","In Progress"
"Need new Blackberry set up",Closed
"Need to add more memory to laptop","In Progress"
"Network file shares access issue","On Hold"
"Network storage unavailable","In Progress"
"New employee hire",Closed
"Performance problems with email",New
"Performance problems with wifi",New
"Please remove the latest hotfix from my PC","In Progress"
"Printer in my office is out of toner",Closed
"Rain is leaking on main DNS Server","In Progress"
"Request for a new service","In Progress"
"Reset my password",Closed
"SAP Financial Accounting application appears to be down","In Progress"
"SAP Materials Management is slow or there is an outage","On Hold"
"SAP Sales app is not accessible","In Progress"
"Sales forecast spreadsheet is READ ONLY","In Progress"
"Seem to have an issue with my hard drive...",Closed
"The SAP HR application is not accessible","In Progress"
"The USB port on my PC stopped working",Closed
"Trouble getting to Oregon mail server",New
"Unable to access team file share",New
"Unable to access the personal details section in payroll portal","On Hold"
"Unable to access the shared folder.",New
"Unable to connect to email",Closed
"Unable to post content on a Wiki page",New
"Wireless access is down in my area","In Progress"
"my PDF docs are all locked from editing",Closed
"sample incident to test service now integration with splunk",New
